time, t, R, r, q, v, a, l, step
2019-08-07_10h-1m-33s,18601,202.284,1.01142,8546.28430859375,8546.28430859375,-0.10643224108591676,0.008397506568580865,200
2019-08-07_10h-10m-37s,18801,203.41199999999998,1.0170599999999999,8577.531890625,8577.531890625,-0.13537640127539635,0.008485110070556402,200
2019-08-07_10h-19m-31s,19001,202.236,1.01118,8608.33376953125,8608.33376953125,-0.12315433059632779,0.008428078912198543,200
2019-08-07_10h-28m-23s,19201,203.592,1.01796,8638.49383984375,8638.49383984375,-0.09290906659513712,0.008453190058469773,200
2019-08-07_10h-37m-19s,19401,202.15200000000002,1.01076,8668.0101484375,8668.0101484375,-0.0984791199117899,0.00843854520469904,200
2019-08-07_10h-46m-11s,19601,202.608,1.01304,8696.96156640625,8696.96156640625,-0.1081066510900855,0.008462707865983247,200
2019-08-07_10h-55m-7s,19801,201.348,1.00674,8725.28330078125,8725.28330078125,-0.10414935581758618,0.008428817689418793,200
2019-08-07_11h-4m-4s,20001,202.788,1.01394,8753.07679296875,8753.07679296875,-0.12948404410481454,0.008382538631558419,200
2019-08-07_11h-13m-2s,20201,202.07999999999998,1.0104,8780.3853359375,8780.3853359375,-0.09115949185192584,0.008436770368367433,200
2019-08-07_11h-21m-58s,20401,202.236,1.01118,8807.166031249999,8807.166031249999,-0.13608799350261688,0.008466677848249674,200
2019-08-07_11h-30m-52s,20601,201.252,1.0062600000000002,8833.33994140625,8833.33994140625,-0.10826399144902825,0.008408116810023784,200
2019-08-07_13h-48m-0s,23601,202.188,1.01094,9169.31074609375,9169.31074609375,-0.11756329571083188,0.008446414966136217,200
2019-08-07_13h-57m-2s,23801,202.176,1.01088,9188.30623046875,9188.30623046875,-0.11808057970553636,0.008429426103830337,200
2019-08-07_14h-6m-7s,24001,200.964,1.00482,9207.02444921875,9207.02444921875,-0.11315968844667076,0.008435197744518518,200
2019-08-07_14h-15m-12s,24201,201.98399999999998,1.00992,9225.295171875001,9225.295171875001,-0.11371218606829643,0.00846148008480668,200
