state, action, reward
1.128;0.0396;0.4554;0.505;0.0027;0.0307;0.034,90;85;70,1.08
1.02;0.0114;0.5;0.4886;0.0007;0.0293;0.0287,30;100;90,0.972
1.044;0.038;0.4684;0.4937;0.002;0.0247;0.026,50;50;110,1.008
1.14;0.1053;0.4474;0.4474;0.008;0.034;0.034,105;115;50,0.924
1.008;0.0;0.4819;0.5181;0.0;0.0267;0.0287,30;50;40,0.912
0.912;0.0111;0.5222;0.4667;0.0007;0.0313;0.028,95;100;50,0.852
0.948;0.023;0.5057;0.4713;0.0013;0.0293;0.0273,75;120;50,0.996
0.396;0.029;0.5217;0.4493;0.0013;0.024;0.0207,60;80;85,0.912
1.14;0.0531;0.4956;0.4513;0.004;0.0373;0.034,115;70;80,0.912
1.104;0.0471;0.4706;0.4824;0.0027;0.0267;0.0273,60;80;65,0.888
1.08;0.0306;0.5306;0.4388;0.002;0.0347;0.0287,65;115;80,0.936
1.104;0.0938;0.4792;0.4271;0.006;0.0307;0.0273,90;115;45,0.936
1.02;0.0506;0.5316;0.4177;0.0027;0.028;0.022,50;120;120,0.9
0.636;0.0;0.4857;0.5143;0.0;0.0227;0.024,60;110;70,0.924
1.056;0.0833;0.4762;0.4405;0.0047;0.0267;0.0247,65;30;115,0.948
1.068;0.0385;0.4904;0.4712;0.0027;0.034;0.0327,70;95;100,0.78
0.432;0.0145;0.4928;0.4928;0.0007;0.0227;0.0227,90;75;65,0.78
1.032;0.0515;0.5155;0.433;0.0033;0.0333;0.028,65;45;110,0.936
0.852;0.0263;0.5;0.4737;0.0013;0.0253;0.024,100;45;70,0.936
1.032;0.0659;0.4615;0.4725;0.004;0.028;0.0287,85;95;40,1.008
0.984;0.0132;0.5263;0.4605;0.0007;0.0267;0.0233,40;80;75,0.888
1.02;0.051;0.4796;0.4694;0.0033;0.0313;0.0307,115;90;110,0.9
0.972;0.0;0.4937;0.5063;0.0;0.026;0.0267,45;95;30,0.936
0.96;0.0533;0.48;0.4667;0.0027;0.024;0.0233,30;50;90,0.828
0.972;0.012;0.506;0.4819;0.0007;0.028;0.0267,30;115;60,0.912
1.02;0.046;0.4943;0.4598;0.0027;0.0287;0.0267,100;60;40,0.912
1.116;0.075;0.5;0.425;0.006;0.04;0.034,100;115;45,0.852
0.84;0.0385;0.5128;0.4487;0.002;0.0267;0.0233,110;65;115,0.924
0.78;0.0;0.5114;0.4886;0.0;0.03;0.0287,30;80;95,0.876
0.696;0.0;0.475;0.525;0.0;0.0253;0.028,120;40;40,1.008
1.092;0.0761;0.4891;0.4348;0.0047;0.03;0.0267,95;100;40,0.948
0.888;0.0139;0.4861;0.5;0.0007;0.0233;0.024,85;30;50,0.96
