state, action, reward
1.08;0.0312;0.4896;0.4792;0.002;0.0313;0.0307,70;75;90,1.044
0.756;0.0137;0.4932;0.4932;0.0007;0.024;0.024,90;30;45,0.912
0.996;0.0543;0.4783;0.4674;0.0033;0.0293;0.0287,30;95;80,0.852
1.08;0.0729;0.4896;0.4375;0.0047;0.0313;0.028,95;110;60,0.924
1.092;0.0674;0.5056;0.427;0.004;0.03;0.0253,65;115;60,0.996
0.48;0.0;0.5139;0.4861;0.0;0.0247;0.0233,40;50;55,0.792
0.876;0.0435;0.4783;0.4783;0.0027;0.0293;0.0293,90;105;85,0.84
0.96;0.0247;0.4568;0.5185;0.0013;0.0247;0.028,40;110;30,0.936
1.08;0.0127;0.5063;0.481;0.0007;0.0267;0.0253,70;55;35,1.128
1.08;0.0;0.5122;0.4878;0.0;0.056;0.0533,90;40;45,0.72
0.636;0.0192;0.5048;0.476;0.0027;0.07;0.066,65;65;105,0.732
0.132;0.0648;0.4907;0.4444;0.0047;0.0353;0.032,100;75;50,0.768
1.068;0.0211;0.4737;0.5053;0.0013;0.03;0.032,55;30;40,0.888
1.056;0.0562;0.5393;0.4045;0.0033;0.032;0.024,95;100;85,0.804
1.032;0.046;0.4943;0.4598;0.0027;0.0287;0.0267,65;95;35,0.936
0.996;0.05;0.5;0.45;0.0033;0.0333;0.03,65;110;50,0.864
0.912;0.0;0.5319;0.4681;0.0;0.0333;0.0293,80;30;30,0.876
0.528;0.0;0.5217;0.4783;0.0;0.024;0.022,35;85;60,0.852
1.068;0.0494;0.4938;0.4568;0.0027;0.0267;0.0247,90;95;110,0.96
0.876;0.026;0.4805;0.4935;0.0013;0.0247;0.0253,65;85;85,0.888
1.056;0.0319;0.5106;0.4574;0.002;0.032;0.0287,80;70;40,0.996
1.128;0.0538;0.5054;0.4409;0.0033;0.0313;0.0273,110;110;75,0.888
1.056;0.0444;0.4889;0.4667;0.0027;0.0293;0.028,70;30;100,0.876
0.876;0.05;0.5375;0.4125;0.0027;0.0287;0.022,85;90;30,0.984
0.96;0.0;0.5426;0.4574;0.0;0.034;0.0287,100;110;35,0.912
1.008;0.0;0.5057;0.4943;0.0;0.0293;0.0287,30;115;105,0.876
1.032;0.0102;0.5;0.4898;0.0007;0.0327;0.032,40;60;95,1.008
1.104;0.0515;0.4433;0.5052;0.0033;0.0287;0.0327,115;85;95,0.864
0.564;0.0122;0.4756;0.5122;0.0007;0.026;0.028,80;90;35,0.948
0.564;0.0;0.4819;0.5181;0.0;0.0267;0.0287,55;100;115,0.864
0.984;0.012;0.5422;0.4458;0.0007;0.03;0.0247,90;75;115,0.96
0.996;0.0476;0.5238;0.4286;0.0027;0.0293;0.024,85;45;120,0.876
1.02;0.0357;0.5;0.4643;0.002;0.028;0.026,60;40;85,0.912
0.684;0.0;0.4605;0.5395;0.0;0.0233;0.0273,80;65;85,0.924
1.032;0.0;0.4894;0.5106;0.0;0.0307;0.032,65;30;75,0.972
1.032;0.0575;0.4713;0.4713;0.0033;0.0273;0.0273,55;45;75,1.056
0.528;0.04;0.4933;0.4667;0.002;0.0247;0.0233,85;100;80,0.9
1.164;0.1132;0.4906;0.3962;0.008;0.0347;0.028,80;70;60,0.9
1.116;0.0652;0.4457;0.4891;0.004;0.0273;0.03,65;110;115,0.924
1.08;0.0;0.4778;0.5222;0.0;0.0287;0.0313,110;110;75,0.96
0.528;0.0147;0.4853;0.5;0.0007;0.022;0.0227,85;75;55,0.9
1.068;0.0;0.549;0.451;0.0;0.0373;0.0307,35;120;90,0.972
1.068;0.0488;0.5;0.4512;0.0027;0.0273;0.0247,120;100;85,0.9
0.72;0.0132;0.5132;0.4737;0.0007;0.026;0.024,70;55;115,0.876
0.876;0.0;0.52;0.48;0.0;0.026;0.024,85;70;115,0.912
0.912;0.0192;0.5;0.4808;0.0013;0.0347;0.0333,115;120;100,0.852
0.168;0.0141;0.4507;0.5352;0.0007;0.0213;0.0253,95;50;60,0.78
1.14;0.0826;0.4771;0.4404;0.006;0.0347;0.032,95;85;70,0.936
0.384;0.0;0.4923;0.5077;0.0;0.0213;0.022,65;80;120,0.876
0.972;0.039;0.4805;0.4805;0.002;0.0247;0.0247,60;110;65,0.888
1.032;0.043;0.4946;0.4624;0.0027;0.0307;0.0287,80;60;35,0.924
0.468;0.043;0.4731;0.4839;0.0027;0.0293;0.03,50;85;65,0.816
0.948;0.0351;0.5088;0.4561;0.0027;0.0387;0.0347,60;50;75,0.78
1.128;0.0667;0.4667;0.4667;0.004;0.028;0.028,105;80;120,0.876
1.044;0.0299;0.5448;0.4254;0.0027;0.0487;0.038,30;105;60,0.78
0.36;0.0385;0.5256;0.4359;0.002;0.0273;0.0227,40;70;30,0.816
1.08;0.0095;0.5048;0.4857;0.0007;0.0353;0.034,110;55;45,0.852
0.66;0.0137;0.5342;0.4521;0.0007;0.026;0.022,65;80;65,0.864
0.984;0.04;0.51;0.45;0.0027;0.034;0.03,115;70;85,0.912
0.696;0.0476;0.4667;0.4857;0.0033;0.0327;0.034,90;60;110,0.804
1.032;0.023;0.4828;0.4943;0.0013;0.028;0.0287,65;90;70,0.888
0.684;0.0;0.5316;0.4684;0.0;0.028;0.0247,35;45;55,0.864
0.96;0.0;0.4889;0.5111;0.0;0.0293;0.0307,50;30;45,0.912
0.816;0.013;0.5325;0.4545;0.0007;0.0273;0.0233,70;110;75,0.912
0.972;0.0078;0.5547;0.4375;0.0007;0.0473;0.0373,90;120;65,0.792
0.984;0.0115;0.5517;0.4368;0.0007;0.032;0.0253,120;55;85,0.84
0.744;0.0;0.4533;0.5467;0.0;0.0227;0.0273,35;100;40,0.888
1.032;0.0206;0.5464;0.433;0.0013;0.0353;0.028,55;55;95,0.84
0.264;0.0;0.5152;0.4848;0.0;0.0227;0.0213,115;60;50,0.816
1.104;0.087;0.4674;0.4457;0.0053;0.0287;0.0273,55;75;80,0.84
1.02;0.026;0.5065;0.4675;0.0013;0.026;0.024,110;30;75,0.924
0.816;0.046;0.5057;0.4483;0.0027;0.0293;0.026,50;35;80,0.888
0.972;0.0323;0.4946;0.4731;0.002;0.0307;0.0293,95;75;90,0.852
0.912;0.0119;0.4524;0.5357;0.0007;0.0253;0.03,120;30;35,0.996
1.068;0.06;0.48;0.46;0.004;0.032;0.0307,50;80;80,0.828
0.96;0.0119;0.5;0.4881;0.0007;0.028;0.0273,120;55;115,0.876
0.924;0.0488;0.5366;0.4146;0.0027;0.0293;0.0227,40;35;90,0.864
0.804;0.027;0.4865;0.4865;0.0013;0.024;0.024,35;75;100,0.972
1.056;0.0118;0.5529;0.4353;0.0007;0.0313;0.0247,90;110;90,0.888
1.116;0.0594;0.4752;0.4653;0.004;0.032;0.0313,75;100;80,0.936
0.852;0.026;0.5195;0.4545;0.0013;0.0267;0.0233,105;50;45,0.756
0.96;0.0256;0.5;0.4744;0.0013;0.026;0.0247,45;40;90,0.924
1.044;0.0787;0.4646;0.4567;0.0067;0.0393;0.0387,105;95;95,0.756
1.02;0.0235;0.5059;0.4706;0.0013;0.0287;0.0267,70;80;75,0.912
0.96;0.0247;0.5679;0.4074;0.0013;0.0307;0.022,85;120;60,0.936
1.092;0.066;0.5;0.434;0.0047;0.0353;0.0307,105;75;50,0.84
0.264;0.0;0.5217;0.4783;0.0;0.024;0.022,55;90;85,0.912
1.104;0.0286;0.4762;0.4952;0.002;0.0333;0.0347,95;75;80,1.032
1.056;0.0345;0.5287;0.4368;0.002;0.0307;0.0253,75;65;90,0.936
0.924;0.0789;0.4474;0.4737;0.004;0.0227;0.024,110;90;120,0.84
1.152;0.0673;0.4808;0.4519;0.0047;0.0333;0.0313,85;100;115,0.912
0.492;0.0;0.5373;0.4627;0.0;0.024;0.0207,65;105;120,0.84
1.032;0.0105;0.4737;0.5158;0.0007;0.03;0.0327,60;30;120,0.96
1.152;0.086;0.4624;0.4516;0.0053;0.0287;0.028,75;110;110,0.948
0.552;0.0;0.5238;0.4762;0.0;0.0293;0.0267,95;50;70,0.864
0.348;0.0141;0.4507;0.5352;0.0007;0.0213;0.0253,100;35;120,0.852
1.176;0.0385;0.4744;0.4872;0.002;0.0247;0.0253,120;45;55,0.936
1.08;0.0494;0.4568;0.4938;0.0027;0.0247;0.0267,115;50;105,0.924
1.08;0.0333;0.4889;0.4778;0.002;0.0293;0.0287,60;105;55,0.864
0.66;0.0;0.5217;0.4783;0.0;0.024;0.022,60;60;95,0.96
0.804;0.0353;0.4471;0.5176;0.002;0.0253;0.0293,35;100;110,0.972
0.684;0.05;0.5;0.45;0.0027;0.0267;0.024,45;55;75,0.768
0.984;0.0125;0.525;0.4625;0.0007;0.028;0.0247,40;80;40,0.984
0.636;0.0114;0.5227;0.4659;0.0007;0.0307;0.0273,30;90;50,0.78
0.348;0.0141;0.4648;0.5211;0.0007;0.022;0.0247,110;75;105,0.744
1.164;0.0545;0.5091;0.4364;0.004;0.0373;0.032,90;100;105,0.936
0.852;0.05;0.4375;0.5125;0.0027;0.0233;0.0273,80;100;50,0.864
0.984;0.0617;0.4568;0.4815;0.0033;0.0247;0.026,115;35;45,0.924
0.672;0.0;0.5054;0.4946;0.0;0.0313;0.0307,110;50;70,0.852
1.008;0.0247;0.5432;0.4321;0.0013;0.0293;0.0233,55;35;85,0.948
0.732;0.0;0.5059;0.4941;0.0;0.0287;0.028,55;115;65,0.9
0.792;0.0244;0.4756;0.5;0.0013;0.026;0.0273,60;90;80,0.78
1.176;0.0217;0.4891;0.4891;0.0013;0.03;0.03,40;75;110,0.912
1.068;0.0;0.5263;0.4737;0.0;0.0333;0.03,105;35;120,0.876
1.056;0.0108;0.4839;0.5054;0.0007;0.03;0.0313,40;90;105,0.912
0.612;0.0;0.5128;0.4872;0.0;0.0267;0.0253,105;75;60,0.912
1.056;0.0652;0.4783;0.4565;0.004;0.0293;0.028,100;110;35,0.888
0.96;0.0455;0.5182;0.4364;0.0033;0.038;0.032,35;35;100,0.768
0.996;0.0;0.5476;0.4524;0.0;0.0307;0.0253,30;115;45,0.912
0.876;0.058;0.4783;0.4638;0.0027;0.022;0.0213,45;100;85,0.876
0.636;0.0;0.5325;0.4675;0.0;0.0273;0.024,30;120;120,0.888
0.888;0.0816;0.4796;0.4388;0.0053;0.0313;0.0287,75;75;80,0.804
0.972;0.0227;0.5;0.4773;0.0013;0.0293;0.028,30;75;60,0.948
1.032;0.0111;0.5333;0.4556;0.0007;0.032;0.0273,100;60;30,0.996
0.144;0.0;0.5405;0.4595;0.0;0.0267;0.0227,95;115;90,0.924
0.744;0.0133;0.5067;0.48;0.0007;0.0253;0.024,90;55;65,0.948
0.96;0.0119;0.5119;0.4762;0.0007;0.0287;0.0267,35;70;120,0.9
0.972;0.0242;0.5242;0.4516;0.002;0.0433;0.0373,35;55;70,0.768
0.948;0.0247;0.4938;0.4815;0.0013;0.0267;0.026,50;50;70,0.876
0.912;0.0617;0.4815;0.4568;0.0033;0.026;0.0247,50;120;100,0.768
1.092;0.0105;0.5368;0.4526;0.0007;0.034;0.0287,120;105;65,1.008
0.912;0.0;0.5;0.5;0.0;0.0307;0.0307,70;55;95,0.876
1.008;0.037;0.5062;0.4568;0.002;0.0273;0.0247,60;60;40,0.828
0.996;0.0211;0.4947;0.4842;0.0013;0.0313;0.0307,55;40;80,0.888
1.068;0.0642;0.4587;0.4771;0.0047;0.0333;0.0347,55;105;50,0.792
1.056;0.0513;0.4615;0.4872;0.0027;0.024;0.0253,100;80;110,0.972
0.348;0.0278;0.5139;0.4583;0.0013;0.0247;0.022,90;75;105,0.9
0.828;0.0;0.5169;0.4831;0.0;0.0307;0.0287,65;75;115,0.876
0.972;0.0241;0.4578;0.5181;0.0013;0.0253;0.0287,115;85;85,0.912
1.104;0.0316;0.5053;0.4632;0.002;0.032;0.0293,30;65;55,1.008
0.9;0.0526;0.4825;0.4649;0.004;0.0367;0.0353,120;90;55,0.768
1.056;0.0568;0.4773;0.4659;0.0033;0.028;0.0273,90;55;80,0.888
1.068;0.0917;0.4583;0.45;0.0073;0.0367;0.036,80;35;95,0.804
0.804;0.0139;0.5278;0.4583;0.0007;0.0253;0.022,75;115;70,0.864
0.948;0.0115;0.4943;0.4943;0.0007;0.0287;0.0287,55;85;45,0.96
1.032;0.0471;0.5059;0.4471;0.0027;0.0287;0.0253,45;110;100,0.816
0.852;0.0;0.5065;0.4935;0.0;0.026;0.0253,60;80;70,0.924
1.02;0.0889;0.4778;0.4333;0.0053;0.0287;0.026,75;80;70,0.816
1.02;0.0225;0.5056;0.4719;0.0013;0.03;0.028,50;55;105,0.96
1.008;0.0;0.4943;0.5057;0.0;0.0287;0.0293,50;35;115,0.948
1.104;0.0504;0.4958;0.4538;0.004;0.0393;0.036,110;85;120,0.768
0.288;0.0145;0.4638;0.5217;0.0007;0.0213;0.024,110;120;40,0.864
0.924;0.0256;0.5256;0.4487;0.0013;0.0273;0.0233,45;115;100,0.876
1.104;0.0484;0.4919;0.4597;0.004;0.0407;0.038,110;45;95,0.84
1.056;0.0;0.5;0.5;0.0;0.028;0.028,105;40;80,0.924
0.384;0.0137;0.4795;0.5068;0.0007;0.0233;0.0247,60;40;115,0.816
0.996;0.0395;0.5263;0.4342;0.002;0.0267;0.022,60;55;60,0.9
0.972;0.0241;0.506;0.4699;0.0013;0.028;0.026,55;60;55,0.912
0.732;0.027;0.4459;0.527;0.0013;0.022;0.026,30;65;70,0.804
0.984;0.0385;0.5256;0.4359;0.002;0.0273;0.0227,40;95;40,0.924
1.056;0.08;0.48;0.44;0.0053;0.032;0.0293,105;65;40,0.984
1.008;0.038;0.443;0.519;0.002;0.0233;0.0273,35;95;50,0.96
0.672;0.0139;0.5278;0.4583;0.0007;0.0253;0.022,95;60;120,0.912
0.864;0.0225;0.4944;0.4831;0.0013;0.0293;0.0287,85;120;95,0.852
1.116;0.0471;0.4941;0.4588;0.0027;0.028;0.026,105;70;115,0.96
0.804;0.0901;0.4505;0.4595;0.0067;0.0333;0.034,80;105;120,0.768
1.056;0.0;0.4881;0.5119;0.0;0.0273;0.0287,85;35;100,0.948
0.852;0.049;0.4804;0.4706;0.0033;0.0327;0.032,80;75;105,0.804
0.672;0.0;0.5128;0.4872;0.0;0.0267;0.0253,65;110;35,0.9
0.816;0.0;0.5422;0.4578;0.0;0.03;0.0253,120;100;70,0.948
1.02;0.0215;0.5161;0.4624;0.0013;0.032;0.0287,55;65;115,0.912
1.068;0.0198;0.495;0.4851;0.0013;0.0333;0.0327,95;55;105,0.888
1.044;0.0805;0.5057;0.4138;0.0047;0.0293;0.024,60;35;40,0.864
1.032;0.0225;0.573;0.4045;0.0013;0.034;0.024,85;75;75,0.888
0.612;0.0263;0.4342;0.5395;0.0013;0.022;0.0273,55;85;105,0.828
0.996;0.0488;0.4634;0.4878;0.0027;0.0253;0.0267,90;120;110,0.924
0.876;0.0;0.5571;0.4429;0.0;0.026;0.0207,55;65;85,0.924
1.08;0.0645;0.4624;0.4731;0.004;0.0287;0.0293,50;70;55,1.008
0.696;0.0;0.5055;0.4945;0.0;0.0307;0.03,70;80;35,0.84
0.876;0.0221;0.5515;0.4265;0.002;0.05;0.0387,55;50;120,0.756
0.12;0.0;0.5;0.5;0.0;0.0233;0.0233,115;55;100,0.9
1.164;0.0632;0.4526;0.4842;0.004;0.0287;0.0307,95;80;65,1.02
0.9;0.0;0.5513;0.4487;0.0;0.0287;0.0233,35;40;95,0.936
1.02;0.0395;0.5263;0.4342;0.002;0.0267;0.022,70;95;40,0.9
0.84;0.0253;0.481;0.4937;0.0013;0.0253;0.026,110;120;75,1.008
0.9;0.0123;0.5062;0.4815;0.0007;0.0273;0.026,45;60;90,0.96
0.924;0.0;0.5376;0.4624;0.0;0.0333;0.0287,115;55;100,0.96
0.336;0.0;0.5538;0.4462;0.0;0.024;0.0193,100;45;70,0.816
0.9;0.0274;0.4932;0.4795;0.0013;0.024;0.0233,35;35;40,0.888
0.852;0.0135;0.5;0.4865;0.0007;0.0247;0.024,55;105;90,0.936
1.02;0.0633;0.4557;0.481;0.0033;0.024;0.0253,50;85;40,0.936
1.08;0.0083;0.4876;0.5041;0.0007;0.0393;0.0407,80;55;115,0.816
0.036;0.0139;0.4722;0.5139;0.0007;0.0227;0.0247,55;95;85,0.84
1.128;0.0632;0.4632;0.4737;0.004;0.0293;0.03,105;80;40,1.008
0.948;0.0476;0.5143;0.4381;0.0033;0.036;0.0307,80;35;30,0.84
0.996;0.0253;0.4684;0.5063;0.0013;0.0247;0.0267,45;40;85,1.044
1.128;0.0532;0.5;0.4468;0.0033;0.0313;0.028,45;40;120,0.864
1.068;0.0227;0.5227;0.4545;0.0013;0.0307;0.0267,100;80;45,0.936
0.78;0.0;0.4928;0.5072;0.0;0.0227;0.0233,50;40;45,1.008
0.852;0.0132;0.4605;0.5263;0.0007;0.0233;0.0267,30;65;100,0.84
0.684;0.0;0.5366;0.4634;0.0;0.0293;0.0253,70;85;55,0.924
1.14;0.0592;0.5;0.4408;0.006;0.0507;0.0447,110;100;70,0.78
0.204;0.0;0.493;0.507;0.0;0.0233;0.024,105;75;60,0.924
1.032;0.0;0.5325;0.4675;0.0;0.0273;0.024,105;40;105,1.152
1.056;0.0069;0.4966;0.4966;0.0007;0.048;0.048,65;80;75,0.372
1.068;0.0048;0.4952;0.5;0.0007;0.0693;0.07,70;60;75,0.756
0.336;0.0929;0.45;0.4571;0.0087;0.042;0.0427,35;55;40,0.768
1.008;0.0506;0.4684;0.481;0.0027;0.0247;0.0253,55;110;75,0.96
1.068;0.0;0.5455;0.4545;0.0;0.032;0.0267,70;90;110,0.948
0.912;0.0198;0.5347;0.4455;0.0013;0.036;0.03,75;45;120,0.852
1.032;0.0;0.5227;0.4773;0.0;0.0307;0.028,45;95;65,0.96
1.056;0.0465;0.5;0.4535;0.0027;0.0287;0.026,110;85;100,0.864
0.912;0.0118;0.4824;0.5059;0.0007;0.0273;0.0287,55;115;55,0.96
0.828;0.0274;0.4589;0.5137;0.0027;0.0447;0.05,105;110;70,0.732
1.068;0.0299;0.485;0.485;0.0033;0.054;0.054,75;70;75,0.744
0.096;0.0;0.5139;0.4861;0.0;0.0247;0.0233,50;75;100,0.852
0.9;0.0244;0.4634;0.5122;0.0013;0.0253;0.028,40;105;80,0.96
0.96;0.0;0.481;0.519;0.0;0.0253;0.0273,30;65;115,0.972
0.612;0.0139;0.4722;0.5139;0.0007;0.0227;0.0247,55;45;115,0.948
1.008;0.0123;0.5185;0.4691;0.0007;0.028;0.0253,30;45;65,0.924
1.032;0.0222;0.4889;0.4889;0.0013;0.0293;0.0293,90;75;35,0.948
0.708;0.0721;0.4955;0.4324;0.0053;0.0367;0.032,115;110;70,0.816
0.972;0.0879;0.5055;0.4066;0.0053;0.0307;0.0247,70;80;30,0.852
1.116;0.0496;0.5289;0.4215;0.004;0.0427;0.034,85;55;60,0.84
0.564;0.0;0.4583;0.5417;0.0;0.022;0.026,95;95;110,0.9
1.08;0.0485;0.466;0.4854;0.0033;0.032;0.0333,35;105;95,0.96
0.84;0.0326;0.4457;0.5217;0.002;0.0273;0.032,95;30;45,0.924
1.056;0.0109;0.5326;0.4565;0.0007;0.0327;0.028,50;110;55,0.876
0.912;0.0349;0.5116;0.4535;0.002;0.0293;0.026,120;75;85,0.924
1.008;0.0417;0.5;0.4583;0.0027;0.032;0.0293,115;85;65,0.876
1.056;0.0;0.5181;0.4819;0.0;0.0287;0.0267,60;60;120,0.876
0.324;0.0;0.4688;0.5312;0.0;0.02;0.0227,75;110;80,0.828
1.152;0.101;0.5051;0.3939;0.0067;0.0333;0.026,105;105;60,0.912
0.492;0.0;0.4928;0.5072;0.0;0.0227;0.0233,80;95;90,0.852
1.02;0.0349;0.5233;0.4419;0.002;0.03;0.0253,70;100;100,0.96
1.02;0.0361;0.4699;0.494;0.002;0.026;0.0273,100;95;35,0.816
0.984;0.0476;0.4762;0.4762;0.0033;0.0333;0.0333,40;40;120,0.78
1.056;0.0227;0.5;0.4773;0.0013;0.0293;0.028,65;40;100,0.864
0.972;0.0357;0.5;0.4643;0.002;0.028;0.026,50;35;60,0.96
0.96;0.0652;0.4457;0.4891;0.004;0.0273;0.03,105;75;75,0.936
1.116;0.03;0.51;0.46;0.002;0.034;0.0307,95;95;110,0.948
1.068;0.0405;0.527;0.4324;0.002;0.026;0.0213,55;60;75,1.008
1.056;0.0085;0.5424;0.4492;0.0007;0.0427;0.0353,115;40;35,0.84
1.032;0.1053;0.4737;0.4211;0.008;0.036;0.032,35;115;100,0.756
0.996;0.038;0.5316;0.4304;0.002;0.028;0.0227,80;35;90,0.936
0.636;0.0;0.4933;0.5067;0.0;0.0247;0.0253,75;75;65,0.936
1.08;0.0515;0.4433;0.5052;0.0033;0.0287;0.0327,65;105;65,0.876
0.888;0.0323;0.5269;0.4409;0.002;0.0327;0.0273,65;45;120,0.852
1.008;0.0233;0.4884;0.4884;0.0013;0.028;0.028,30;55;40,0.9
0.9;0.0119;0.5238;0.4643;0.0007;0.0293;0.026,75;60;120,0.876
1.068;0.0606;0.4747;0.4646;0.004;0.0313;0.0307,115;60;50,0.96
1.056;0.069;0.4943;0.4368;0.004;0.0287;0.0253,85;80;105,0.828
0.588;0.0132;0.4737;0.5132;0.0007;0.024;0.026,85;35;70,0.804
1.08;0.0652;0.4891;0.4457;0.004;0.03;0.0273,95;70;85,1.02
0.756;0.0133;0.5067;0.48;0.0007;0.0253;0.024,40;105;60,0.804
1.068;0.0421;0.5474;0.4105;0.0027;0.0347;0.026,110;60;85,0.876
0.9;0.0745;0.4894;0.4362;0.0047;0.0307;0.0273,90;50;30,0.816
0.888;0.0;0.5;0.5;0.0;0.0273;0.0273,105;60;120,0.876
1.164;0.0083;0.5207;0.4711;0.0007;0.042;0.038,100;75;60,0.744
0.612;0.1293;0.4741;0.3966;0.01;0.0367;0.0307,95;85;35,0.828
1.092;0.0196;0.5098;0.4706;0.0013;0.0347;0.032,95;65;70,0.864
0.288;0.0;0.4714;0.5286;0.0;0.022;0.0247,80;110;45,0.936
0.936;0.0125;0.5125;0.475;0.0007;0.0273;0.0253,75;120;95,0.912
0.996;0.0111;0.4778;0.5111;0.0007;0.0287;0.0307,95;65;30,0.96
0.72;0.0471;0.4941;0.4588;0.0027;0.028;0.026,50;85;75,0.78
1.008;0.039;0.5195;0.4416;0.002;0.0267;0.0227,55;115;65,0.96
1.032;0.0521;0.4896;0.4583;0.0033;0.0313;0.0293,45;50;40,0.984
0.552;0.0;0.5122;0.4878;0.0;0.028;0.0267,45;105;105,0.744
1.092;0.0198;0.4851;0.495;0.0013;0.0327;0.0333,70;65;115,0.996
1.056;0.0619;0.4845;0.4536;0.004;0.0313;0.0293,90;65;40,0.936
0.96;0.0374;0.5047;0.4579;0.0027;0.036;0.0327,105;40;115,0.804
0.984;0.0119;0.4881;0.5;0.0007;0.0273;0.028,115;85;120,0.9
1.14;0.0081;0.5285;0.4634;0.0007;0.0433;0.038,55;65;105,0.828
0.204;0.0;0.5286;0.4714;0.0;0.0247;0.022,55;70;45,0.828
1.032;0.0;0.5444;0.4556;0.0;0.0327;0.0273,80;100;50,1.008
0.984;0.0342;0.4872;0.4786;0.0027;0.038;0.0373,75;95;40,0.78
0.66;0.0132;0.4211;0.5658;0.0007;0.0213;0.0287,45;45;105,0.816
1.128;0.0943;0.4811;0.4245;0.0067;0.034;0.03,85;50;40,0.972
0.864;0.0;0.5385;0.4615;0.0;0.028;0.024,35;85;85,0.888
0.864;0.0119;0.5;0.4881;0.0007;0.028;0.0273,60;55;30,0.876
1.044;0.0241;0.506;0.4699;0.0013;0.028;0.026,70;35;105,0.9
0.972;0.1151;0.4748;0.4101;0.0107;0.044;0.038,115;110;70,0.78
0.972;0.0411;0.5068;0.4521;0.002;0.0247;0.022,80;105;35,0.864
0.78;0.0256;0.5128;0.4615;0.0013;0.0267;0.024,50;100;60,0.84
1.14;0.0485;0.5049;0.4466;0.0033;0.0347;0.0307,115;90;110,0.948
0.996;0.043;0.5161;0.4409;0.0027;0.032;0.0273,40;115;100,0.96
0.528;0.0143;0.5143;0.4714;0.0007;0.024;0.022,60;65;75,0.936
0.576;0.0;0.5;0.5;0.0;0.0293;0.0293,95;110;95,0.84
1.044;0.0;0.5;0.5;0.0;0.0287;0.0287,75;120;110,1.092
0.888;0.0091;0.5;0.4909;0.0007;0.0367;0.036,100;65;75,0.78
0.516;0.0488;0.5;0.4512;0.0027;0.0273;0.0247,115;115;75,0.864
0.984;0.0114;0.4773;0.5114;0.0007;0.028;0.03,30;90;70,0.936
0.84;0.0;0.4805;0.5195;0.0;0.0247;0.0267,55;35;40,0.96
0.708;0.0128;0.4872;0.5;0.0007;0.0253;0.026,55;45;60,0.864
0.9;0.029;0.5072;0.4638;0.0013;0.0233;0.0213,95;115;95,1.008
1.128;0.0636;0.5;0.4364;0.0047;0.0367;0.032,115;90;85,0.84
0.408;0.0;0.4571;0.5429;0.0;0.0213;0.0253,50;30;50,0.84
0.864;0.012;0.4819;0.506;0.0007;0.0267;0.028,120;80;35,0.888
0.948;0.0247;0.4815;0.4938;0.0013;0.026;0.0267,45;70;105,0.912
1.02;0.0617;0.4691;0.4691;0.0033;0.0253;0.0253,35;120;35,0.96
0.9;0.0361;0.4819;0.4819;0.002;0.0267;0.0267,60;65;95,0.912
1.104;0.0532;0.4787;0.4681;0.0033;0.03;0.0293,75;55;105,0.912
1.08;0.08;0.472;0.448;0.0067;0.0393;0.0373,70;95;55,0.804
0.948;0.0;0.5;0.5;0.0;0.028;0.028,90;80;45,0.864
0.924;0.0294;0.4902;0.4804;0.002;0.0333;0.0327,105;40;65,0.84
0.948;0.0139;0.4722;0.5139;0.0007;0.0227;0.0247,110;65;75,0.912
0.816;0.0;0.4674;0.5326;0.0;0.0287;0.0327,60;70;45,0.888
0.924;0.0563;0.4789;0.4648;0.0027;0.0227;0.022,30;55;40,0.936
0.804;0.0;0.4933;0.5067;0.0;0.0247;0.0253,60;100;120,0.9
0.924;0.0319;0.5;0.4681;0.002;0.0313;0.0293,60;35;50,0.84
0.888;0.1146;0.4792;0.4062;0.0073;0.0307;0.026,75;50;100,0.792
1.032;0.0235;0.4706;0.5059;0.0013;0.0267;0.0287,45;65;95,0.888
0.684;0.0143;0.5143;0.4714;0.0007;0.024;0.022,75;120;120,0.936
0.804;0.022;0.4945;0.4835;0.0013;0.03;0.0293,120;65;95,1.02
1.044;0.037;0.5432;0.4198;0.002;0.0293;0.0227,85;60;50,0.9
1.104;0.0096;0.5385;0.4519;0.0007;0.0373;0.0313,95;70;90,0.948
0.444;0.0;0.507;0.493;0.0;0.024;0.0233,120;40;120,0.9
1.092;0.0105;0.5368;0.4526;0.0007;0.034;0.0287,100;50;110,0.9
0.732;0.0;0.5068;0.4932;0.0;0.0247;0.024,95;90;40,0.912
1.092;0.0583;0.4854;0.4563;0.004;0.0333;0.0313,70;65;85,0.936
1.092;0.0119;0.5119;0.4762;0.0007;0.0287;0.0267,110;110;110,0.888
0.636;0.0147;0.5294;0.4559;0.0007;0.024;0.0207,40;95;105,0.792
1.128;0.05;0.49;0.46;0.0033;0.0327;0.0307,100;85;105,0.996
0.732;0.0685;0.4521;0.4795;0.0033;0.022;0.0233,100;70;40,0.9
0.84;0.0235;0.4941;0.4824;0.0013;0.028;0.0273,55;100;40,0.876
1.056;0.0303;0.5152;0.4545;0.002;0.034;0.03,60;115;35,0.984
1.056;0.0438;0.4818;0.4745;0.004;0.044;0.0433,50;110;105,0.744
0.696;0.0123;0.4691;0.5185;0.0007;0.0253;0.028,50;105;65,0.864
0.972;0.0116;0.5;0.4884;0.0007;0.0287;0.028,80;45;70,0.888
1.008;0.0;0.5109;0.4891;0.0;0.0313;0.03,95;50;35,0.912
1.188;0.03;0.49;0.48;0.002;0.0327;0.032,100;105;100,0.96
